スーパーマリオ 64 (SM64) Beta Revival,Alpha Test,MrIsan1,,,スーパーマリオ 64 Beta Revival Alpha-Test SM64 Hack by Mrlsan1,
1 Life = 1 A Press,1.0,Blue 64,120,,1L1A,
24 Red Coins Challenge,1.0,frauber,3,,24 Red Coins Challenge,
4th of July 64,1.0,FireMario74,3,,4th of July 64,
60 FPS Patch,1.0,Kaze,120,,60FPS,
60 FPS Patch,2.0,Kaze,120,,60FPS V2,
a bunch of shit thrown together,1.0,UsernamesAreHard74,7,,a bunch of shit thrown together,
A Single Line,1.0,,1,,A Single Line,
A Snowy Dream,Beta 1,Myles,,2018-12-26,Snowy2,SimpleFlips Competition 4
A Snowy Dream,Release 1,Myles,,2018-12-26,A Snowy Dream R1,SimpleFlips Competition 4
A Snowy Evening,1.0,Nebula,,2019-01-16,A Snowy Evening,SimpleFlips Competition 5
Adventure in the Snow Globe,1.0,GomePlayTV,6,2019-01-16,Adventure in the Snow Globe,SimpleFlips Competition 5
Ahmet's Adventure 64,1.0,AhmetTR38,10*,2018-02-03,AA64,
All Star Adventure,Beta 1,scuttlebug_raiser,,,All Star Adventure Beta 1,
All Star Adventure,Beta 2,scuttlebug_raiser,,,All Star Adventure Beta 2,
All Star Adventure,1.0,scuttlebug_raiser,145,2018-12-17,All Star Adventure 1.0,
All Star Adventure,1.1,scuttlebug_raiser,145,2018-12-17,All Star Adventure 1.1,
All Star Adventure,2.0,scuttlebug_raiser,146,2018-12-17,ASA 2.0,
All Star Adventure,2.1,scuttlebug_raiser,146,2018-12-17,ASA 2.1,
All Star Adventure,2.2,scuttlebug_raiser,146,2018-12-17,ASA 2.2,
All Star Adventure,2.3,scuttlebug_raiser,146,2018-12-17,ASA 2.3,
Another Boss Battle Test,1.0.1,aglab2,10,,Another Boss Battle Test,
Another Mario Adventure,Demo,aglab2,2,,Another Mario Adventure-demo,
ASM Penguin Shop,1.0,Tarek701,0*,,PenguinPatch Tarek701,
ASM Shop Guy,0.2,Tarek701,,,ShopGuy v0.2 Tarek701,
ASMRio 64,1.0,Kaze,120,,ASMRio 64,
Astaroth's Community Project Submission,1.0,Astaroth,,,Astaroths Community Project Submission,
